model,mobilenetv2
batch_size,100
epochs,300
learning_rate,0.01
data_augmentation,True
seed,1
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.04544,0.0863
1,0.10912,0.1359
2,0.15644,0.1742
3,0.19612,0.212
4,0.2317,0.2565
5,0.26106,0.2832
6,0.28748,0.301
7,0.31324,0.3278
8,0.33946,0.3387
9,0.36276,0.3547
10,0.38882,0.359
11,0.40722,0.3923
12,0.42566,0.4043
13,0.44412,0.4281
14,0.45884,0.4259
15,0.4748,0.4396
16,0.49152,0.4384
17,0.50242,0.4544
18,0.51478,0.4559
19,0.52822,0.461
20,0.53972,0.4687
21,0.54872,0.4849
22,0.56172,0.4965
23,0.57006,0.4998
24,0.58174,0.5125
25,0.59388,0.5056
26,0.60044,0.5164
27,0.61002,0.5136
28,0.61864,0.5205
29,0.62514,0.5304
30,0.6338,0.5335
31,0.64104,0.5374
32,0.6492,0.5454
33,0.65542,0.5303
34,0.66246,0.5497
35,0.66942,0.5462
36,0.67372,0.5482
37,0.6828,0.539
38,0.68362,0.548
39,0.69428,0.5474
40,0.697,0.5343
41,0.70586,0.5503
42,0.70924,0.5522
43,0.7142,0.5528
44,0.71606,0.5525
45,0.72662,0.5637
46,0.73176,0.5547
47,0.7339,0.5551
48,0.74094,0.5565
49,0.74406,0.5613
50,0.81154,0.6313
51,0.84356,0.6371
52,0.86054,0.6343
53,0.8713,0.6382
54,0.88114,0.6351
55,0.88862,0.6344
56,0.89806,0.6336
57,0.90426,0.6335
58,0.9086,0.6331
59,0.9158,0.6346
60,0.91956,0.6357
61,0.92388,0.6304
62,0.93122,0.6318
63,0.93344,0.63
64,0.9398,0.6318
65,0.9417,0.6294
66,0.94446,0.6297
67,0.94816,0.6289
68,0.95336,0.6299
69,0.95436,0.6272
70,0.9562,0.6309
71,0.95786,0.6274
72,0.95992,0.6274
73,0.9631,0.6291
74,0.96514,0.6287
75,0.96652,0.6244
76,0.96798,0.6234
77,0.97118,0.6258
78,0.97024,0.6294
79,0.9735,0.6302
80,0.9742,0.6261
81,0.97504,0.6279
82,0.97702,0.6325
83,0.9787,0.6298
84,0.97898,0.6282
85,0.98004,0.6267
86,0.98004,0.6288
87,0.98038,0.6213
88,0.98116,0.63
89,0.98256,0.6269
90,0.98258,0.6285
91,0.983,0.6243
92,0.98414,0.6302
93,0.98348,0.6304
94,0.98482,0.6276
95,0.98588,0.6301
96,0.9847,0.626
97,0.98526,0.6299
98,0.98624,0.6312
99,0.9863,0.6262
100,0.99044,0.645
101,0.9941,0.6474
102,0.99476,0.646
103,0.99568,0.6472
104,0.99584,0.6475
105,0.99656,0.6453
106,0.99636,0.6479
107,0.997,0.6477
108,0.99712,0.6492
109,0.997,0.6483
110,0.9976,0.6496
111,0.99754,0.6503
112,0.9976,0.6477
113,0.99824,0.6471
114,0.9981,0.6491
115,0.9976,0.6499
116,0.9977,0.649
117,0.99784,0.6473
118,0.9982,0.6494
119,0.99822,0.6505
120,0.99818,0.6504
121,0.9984,0.6483
122,0.99832,0.6496
123,0.99874,0.6479
124,0.99858,0.6495
125,0.9986,0.6503
126,0.99832,0.648
127,0.99872,0.648
128,0.99898,0.6497
129,0.9987,0.6463
130,0.99898,0.6475
131,0.99876,0.6494
132,0.99886,0.6479
133,0.999,0.6492
134,0.99898,0.6485
135,0.99918,0.6479
136,0.99894,0.6488
137,0.99898,0.6476
138,0.99876,0.6485
139,0.99908,0.6491
140,0.99896,0.65
141,0.99912,0.6501
142,0.9991,0.6497
143,0.99902,0.65
144,0.99926,0.6491
145,0.99942,0.6484
146,0.99902,0.6503
147,0.99918,0.6499
148,0.99912,0.6498
149,0.99914,0.652
150,0.99914,0.6538
151,0.99936,0.653
152,0.9992,0.6524
153,0.9993,0.6515
154,0.99932,0.6515
155,0.99936,0.6532
156,0.99936,0.6525
157,0.9995,0.6529
158,0.99954,0.6522
159,0.99944,0.6524
160,0.99958,0.6511
161,0.99928,0.6514
162,0.9991,0.6507
163,0.99942,0.6519
164,0.99928,0.652
165,0.99958,0.6515
166,0.99942,0.6516
167,0.99946,0.6512
168,0.99946,0.6515
169,0.9993,0.653
170,0.99954,0.6515
171,0.9994,0.6517
172,0.99952,0.6505
173,0.99944,0.6514
174,0.99928,0.6516
175,0.9995,0.6532
176,0.99964,0.6526
177,0.9995,0.652
178,0.99952,0.6533
179,0.9996,0.6526
180,0.99948,0.6519
181,0.99942,0.6515
182,0.99954,0.6515
183,0.99958,0.6504
184,0.9994,0.6515
185,0.99958,0.6521
186,0.99944,0.6516
187,0.99948,0.6506
188,0.99952,0.6518
189,0.99956,0.6529
190,0.99954,0.6523
191,0.99976,0.6509
192,0.9995,0.6511
193,0.99978,0.6506
194,0.9995,0.6504
195,0.99942,0.6491
196,0.9996,0.6522
197,0.99944,0.6508
198,0.99954,0.6509
199,0.99934,0.6517
200,0.99954,0.6504
201,0.99958,0.6525
202,0.99944,0.6521
203,0.9995,0.6517
204,0.99946,0.6521
205,0.99956,0.6518
206,0.99938,0.6506
207,0.99964,0.6498
208,0.99972,0.6502
209,0.99966,0.6517
210,0.9996,0.6511
211,0.99968,0.6529
212,0.99958,0.6521
213,0.99944,0.6523
214,0.99956,0.6526
215,0.99966,0.6527
216,0.99954,0.6521
217,0.9996,0.6524
218,0.9997,0.6518
219,0.99964,0.6505
220,0.99966,0.6504
221,0.99966,0.6508
222,0.99956,0.6515
223,0.99972,0.6521
224,0.99954,0.6508
225,0.99968,0.6506
226,0.99958,0.6524
227,0.99958,0.6515
228,0.99958,0.6536
229,0.9996,0.6527
230,0.9997,0.6509
231,0.99978,0.6516
232,0.99978,0.6512
233,0.99958,0.6518
234,0.99952,0.6507
235,0.99954,0.6518
236,0.99966,0.6524
237,0.99942,0.6523
238,0.99972,0.652
239,0.99956,0.6511
240,0.99962,0.6512
241,0.99956,0.6497
242,0.99952,0.6513
243,0.99948,0.6523
244,0.99964,0.6511
245,0.99974,0.6518
246,0.9997,0.6511
247,0.99952,0.6516
248,0.9998,0.6497
249,0.99964,0.651
250,0.99976,0.6508
251,0.99948,0.651
252,0.99982,0.6512
253,0.99956,0.6511
254,0.99976,0.6523
255,0.99956,0.6526
256,0.99956,0.6521
257,0.99978,0.6534
258,0.9997,0.6499
259,0.99974,0.652
260,0.99964,0.6521
261,0.99948,0.6521
262,0.9993,0.6518
263,0.9997,0.6528
264,0.99964,0.652
265,0.99958,0.6523
266,0.99968,0.6513
267,0.99982,0.6511
268,0.9998,0.652
269,0.99966,0.6517
270,0.99972,0.6518
271,0.9996,0.652
272,0.99966,0.6507
273,0.99978,0.6515
274,0.9998,0.6503
275,0.9996,0.6517
276,0.99976,0.6515
277,0.99982,0.6511
278,0.99972,0.6514
279,0.9997,0.6511
280,0.99968,0.6523
281,0.99972,0.651
282,0.9998,0.6509
283,0.99982,0.651
284,0.99966,0.652
285,0.9996,0.6516
286,0.99968,0.6524
287,0.99972,0.6522
288,0.99976,0.653
289,0.99954,0.652
290,0.99986,0.6517
291,0.99984,0.6527
292,0.99972,0.6522
293,0.99968,0.6528
294,0.99976,0.6525
295,0.99976,0.6528
296,0.99976,0.653
