model,resnet18
batch_size,160
epochs,300
learning_rate,0.001
data_augmentation,True
seed,1
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.05082,0.085
1,0.10302,0.119
2,0.13088,0.1435
3,0.15058,0.1592
4,0.17016,0.1792
5,0.18928,0.2014
6,0.20674,0.2143
7,0.22574,0.2329
8,0.2463,0.2462
9,0.26592,0.2645
10,0.2836,0.2771
11,0.3021,0.2862
12,0.31826,0.3012
13,0.33448,0.318
14,0.34888,0.3335
15,0.36282,0.3357
16,0.37672,0.3537
17,0.38968,0.3688
18,0.40174,0.3673
19,0.41232,0.3863
20,0.4274,0.3987
21,0.43544,0.4046
22,0.44962,0.4072
23,0.45738,0.4205
24,0.47054,0.4202
25,0.48038,0.4309
26,0.48922,0.4471
27,0.49796,0.4534
28,0.50888,0.4578
29,0.51642,0.4654
30,0.52704,0.4687
31,0.5346,0.4658
32,0.5433,0.4808
33,0.55228,0.4772
34,0.55966,0.4888
35,0.5686,0.5022
36,0.57582,0.5047
37,0.58406,0.508
38,0.59016,0.5108
39,0.59964,0.5096
40,0.60666,0.5163
41,0.61482,0.5193
42,0.62082,0.5217
43,0.6269,0.5215
44,0.63546,0.5237
45,0.64166,0.532
46,0.64644,0.5382
47,0.65314,0.5195
48,0.66322,0.5234
49,0.66798,0.5426
50,0.69054,0.5719
51,0.70034,0.569
52,0.70294,0.5755
53,0.70416,0.5709
54,0.70536,0.5742
55,0.70658,0.5721
56,0.7124,0.5782
57,0.7134,0.5741
58,0.7136,0.5752
59,0.71218,0.5776
60,0.71622,0.5777
61,0.71818,0.5756
62,0.72008,0.5796
63,0.72512,0.5751
64,0.7253,0.5764
65,0.72594,0.5759
66,0.72754,0.5799
67,0.73098,0.5815
68,0.73246,0.5781
69,0.73338,0.5836
70,0.7361,0.5803
71,0.73606,0.5789
72,0.73964,0.5804
73,0.73942,0.5816
74,0.7415,0.5802
75,0.74352,0.5815
76,0.74496,0.579
77,0.7473,0.5831
78,0.74826,0.5836
79,0.74978,0.5796
80,0.75204,0.5821
81,0.75336,0.5845
82,0.75576,0.5845
83,0.75648,0.5819
84,0.7578,0.5828
85,0.75914,0.5836
86,0.76242,0.5803
87,0.76176,0.5811
88,0.76716,0.5814
89,0.76792,0.584
90,0.76778,0.5856
91,0.76756,0.5828
92,0.77252,0.5828
93,0.77192,0.5835
94,0.77466,0.5794
95,0.77652,0.5847
96,0.77836,0.5836
97,0.78054,0.5837
98,0.78226,0.5826
99,0.78342,0.5837
100,0.78844,0.5948
101,0.79046,0.5961
102,0.793,0.5979
103,0.7914,0.5969
104,0.79192,0.5974
105,0.79328,0.5971
106,0.79388,0.5957
107,0.7959,0.5961
108,0.79528,0.5947
109,0.79414,0.5954
110,0.79502,0.5944
111,0.79638,0.5957
112,0.79584,0.5964
113,0.79646,0.5963
114,0.79662,0.5962
115,0.79676,0.5953
116,0.79982,0.5939
117,0.8001,0.5939
118,0.79808,0.5948
119,0.79888,0.5974
120,0.80088,0.597
121,0.79888,0.5961
122,0.79826,0.5965
123,0.79882,0.5951
124,0.80136,0.5944
125,0.80286,0.5974
126,0.80264,0.5955
127,0.80486,0.596
128,0.80338,0.5947
129,0.8026,0.5965
130,0.80394,0.596
131,0.80352,0.5939
132,0.80336,0.5958
133,0.8029,0.5965
134,0.80256,0.596
135,0.80632,0.5954
136,0.80734,0.5982
137,0.80338,0.5961
138,0.80614,0.5961
139,0.80618,0.5939
140,0.80756,0.5956
141,0.80758,0.5977
142,0.8068,0.596
143,0.80742,0.5956
144,0.80766,0.5954
145,0.80792,0.5955
146,0.80852,0.5946
147,0.80772,0.5967
148,0.811,0.5964
149,0.81108,0.5955
150,0.81142,0.5979
151,0.8109,0.5984
152,0.81434,0.5969
153,0.81348,0.5986
154,0.81126,0.598
155,0.8134,0.5988
156,0.8126,0.5978
157,0.81294,0.5984
158,0.81088,0.5984
159,0.81302,0.5981
160,0.81334,0.5986
161,0.81368,0.5985
162,0.81182,0.5985
163,0.81374,0.5983
164,0.8119,0.5993
165,0.81374,0.5983
166,0.8138,0.5981
167,0.81302,0.5988
168,0.81304,0.5976
169,0.81582,0.5983
170,0.8123,0.5992
171,0.81276,0.5975
172,0.81538,0.5985
173,0.81504,0.5984
174,0.81626,0.5982
175,0.81468,0.5977
176,0.81302,0.5978
177,0.81326,0.5974
178,0.81366,0.5984
179,0.81378,0.5979
180,0.81606,0.5967
181,0.81628,0.5965
182,0.81522,0.5993
183,0.81562,0.5979
184,0.81572,0.5984
185,0.81406,0.5983
186,0.8155,0.598
187,0.81518,0.5989
188,0.81508,0.599
189,0.81484,0.599
190,0.81452,0.5982
191,0.81388,0.5983
192,0.8168,0.5983
193,0.81532,0.598
194,0.8158,0.5977
195,0.81826,0.5984
196,0.81666,0.5977
197,0.8179,0.5978
198,0.81536,0.5985
199,0.81582,0.5991
200,0.81612,0.5984
201,0.81764,0.5986
202,0.81708,0.5985
203,0.81662,0.5984
204,0.81616,0.5988
205,0.81636,0.5985
206,0.81648,0.5983
207,0.81546,0.5975
208,0.81594,0.5979
209,0.8184,0.5983
210,0.81552,0.5987
211,0.81816,0.5985
212,0.81724,0.5986
213,0.81492,0.5992
214,0.81652,0.5988
215,0.81872,0.5989
216,0.81646,0.5983
217,0.818,0.5983
218,0.81726,0.5984
219,0.81848,0.5985
220,0.81858,0.599
221,0.81926,0.5994
222,0.81914,0.5991
223,0.81764,0.5983
224,0.81968,0.5983
225,0.81788,0.5979
226,0.81874,0.5997
227,0.81974,0.5985
228,0.8181,0.5985
229,0.81714,0.5985
230,0.81738,0.599
231,0.8186,0.5985
232,0.81896,0.5985
233,0.81708,0.5984
234,0.81944,0.599
235,0.81868,0.5989
236,0.82064,0.5989
237,0.81864,0.599
238,0.8195,0.5994
239,0.81912,0.5991
240,0.819,0.5988
241,0.81998,0.6
242,0.82062,0.5996
243,0.81816,0.5995
244,0.81914,0.599
245,0.81918,0.6
246,0.81832,0.5995
247,0.82016,0.5996
248,0.8201,0.5998
249,0.82022,0.5989
250,0.82052,0.5989
251,0.81988,0.599
252,0.82074,0.5997
253,0.81792,0.5986
254,0.81974,0.598
