model,resnet18
batch_size,200
epochs,300
learning_rate,0.1
data_augmentation,True
seed,1
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.15548,0.2275
1,0.30606,0.3079
2,0.40676,0.38
3,0.4745,0.4223
4,0.52398,0.4751
5,0.55576,0.485
6,0.58458,0.4792
7,0.61144,0.5133
8,0.62984,0.5348
9,0.64356,0.5084
10,0.66224,0.5537
11,0.67118,0.5606
12,0.68254,0.5714
13,0.69294,0.5627
14,0.70188,0.5501
15,0.71012,0.5371
16,0.71914,0.5674
17,0.72436,0.576
18,0.72924,0.5794
19,0.73202,0.5929
20,0.73978,0.5532
21,0.74988,0.5709
22,0.7502,0.577
23,0.7535,0.5819
24,0.75818,0.5964
25,0.7607,0.5766
26,0.76578,0.6036
27,0.7697,0.5945
28,0.77356,0.5841
29,0.77468,0.5779
30,0.77856,0.6057
31,0.77896,0.5553
32,0.78288,0.5814
33,0.78468,0.5935
34,0.78606,0.5906
35,0.7875,0.6067
36,0.79102,0.592
37,0.79302,0.5897
38,0.79954,0.5904
39,0.79274,0.5947
40,0.79676,0.6047
41,0.80252,0.6022
42,0.80252,0.6206
43,0.80398,0.602
44,0.8067,0.597
45,0.80562,0.5593
46,0.81004,0.5806
47,0.80966,0.5922
48,0.81078,0.5989
49,0.80948,0.5852
50,0.89182,0.7259
51,0.9355,0.7272
52,0.95374,0.7289
53,0.96584,0.728
54,0.9724,0.7307
55,0.97796,0.732
56,0.98242,0.7336
57,0.98632,0.7321
58,0.98746,0.7361
59,0.9896,0.7332
60,0.99048,0.7331
61,0.9913,0.7386
62,0.99236,0.7388
63,0.99364,0.7393
64,0.99448,0.7348
65,0.99424,0.734
66,0.99418,0.7367
67,0.99426,0.7384
68,0.99412,0.7332
69,0.99276,0.7265
70,0.9927,0.7266
71,0.99188,0.7205
72,0.98924,0.7191
73,0.98754,0.7123
74,0.98532,0.7158
75,0.98168,0.7033
76,0.98036,0.7014
77,0.97428,0.6822
78,0.971,0.6847
79,0.96988,0.6985
80,0.97132,0.6957
81,0.96912,0.6832
82,0.9665,0.673
83,0.96714,0.6899
84,0.96838,0.6808
85,0.96732,0.6893
86,0.9701,0.6791
87,0.97072,0.694
88,0.97166,0.6915
89,0.97306,0.6919
90,0.97476,0.6961
91,0.97302,0.6887
92,0.97166,0.6901
93,0.97476,0.6894
94,0.9718,0.6933
95,0.97194,0.6855
96,0.97522,0.6923
97,0.9744,0.6929
98,0.97616,0.6788
99,0.97424,0.7001
100,0.99,0.7494
101,0.99724,0.7528
102,0.99798,0.7557
103,0.99864,0.7594
104,0.999,0.7597
105,0.9991,0.7573
106,0.99932,0.7613
107,0.99958,0.7624
108,0.9994,0.7608
109,0.99948,0.7605
110,0.99956,0.7615
111,0.99958,0.7626
112,0.99964,0.7631
113,0.99978,0.7622
114,0.99974,0.7631
115,0.99978,0.7623
116,0.9998,0.7644
117,0.99974,0.7628
118,0.99954,0.7645
119,0.9998,0.7645
120,0.99978,0.7632
121,0.99978,0.7638
122,0.99984,0.7656
123,0.9998,0.7639
124,0.99978,0.763
125,0.9998,0.7669
126,0.99978,0.763
127,0.99984,0.763
128,0.99986,0.7638
129,0.99986,0.7647
130,0.9998,0.7649
131,0.99988,0.7635
132,0.99988,0.7661
133,0.99992,0.764
134,0.99988,0.765
135,0.99984,0.766
136,0.99994,0.765
137,0.99996,0.7635
138,0.99992,0.7648
139,0.99982,0.7642
140,0.99988,0.7647
141,0.99992,0.7644
142,0.99992,0.7638
143,1.0,0.7644
144,0.9999,0.7641
145,0.9999,0.7645
146,0.99992,0.7639
147,0.99996,0.7622
148,0.9999,0.7645
149,0.99986,0.7648
150,0.99994,0.7648
151,0.99994,0.7643
152,1.0,0.7645
153,0.99998,0.7649
154,0.99994,0.7646
155,0.99992,0.7646
