model,wideresnet
batch_size,80
epochs,300
learning_rate,0.2
data_augmentation,True
seed,1
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.08928,0.1492
1,0.20076,0.2481
2,0.29072,0.293
3,0.35308,0.3237
4,0.39602,0.3734
5,0.42324,0.3638
6,0.4458,0.3379
7,0.45786,0.3717
8,0.47112,0.388
9,0.47858,0.3233
10,0.48718,0.3939
11,0.49128,0.4238
12,0.49816,0.4088
13,0.49906,0.4597
14,0.50414,0.4219
15,0.5038,0.43
16,0.50702,0.4025
17,0.50856,0.4581
18,0.51096,0.4
19,0.51554,0.445
20,0.5133,0.4492
21,0.51652,0.4704
22,0.5165,0.4176
23,0.51704,0.466
24,0.51628,0.4704
25,0.5171,0.4715
26,0.51942,0.4596
27,0.51712,0.4548
28,0.51926,0.4813
29,0.51646,0.4417
30,0.51564,0.4295
31,0.51894,0.4668
32,0.51792,0.476
33,0.5187,0.4586
34,0.5179,0.4558
35,0.5207,0.4695
36,0.52056,0.4701
37,0.52192,0.4675
38,0.52222,0.4323
39,0.52418,0.38
40,0.52028,0.4516
41,0.5236,0.4523
42,0.5211,0.4725
43,0.52248,0.469
44,0.52244,0.4856
45,0.52574,0.4881
46,0.52214,0.4583
47,0.52706,0.4843
48,0.52326,0.4879
49,0.52344,0.4579
50,0.65276,0.6604
51,0.68636,0.6596
52,0.6965,0.6568
53,0.70474,0.6489
54,0.70624,0.6475
55,0.70948,0.6382
56,0.71352,0.6351
57,0.7188,0.6459
58,0.72204,0.6492
59,0.72388,0.6443
60,0.72802,0.6349
61,0.73308,0.6434
62,0.73312,0.6362
63,0.73808,0.6396
64,0.74174,0.6289
65,0.74484,0.6516
66,0.74498,0.6428
67,0.74838,0.6426
68,0.7476,0.6511
69,0.7547,0.6452
70,0.75574,0.6323
71,0.75802,0.6552
72,0.75622,0.6461
73,0.76066,0.6477
74,0.7612,0.6422
75,0.7631,0.635
76,0.76298,0.6395
77,0.76272,0.6289
78,0.76432,0.651
79,0.76892,0.613
80,0.76778,0.6505
81,0.76632,0.6452
82,0.77022,0.6611
83,0.77208,0.6374
84,0.77164,0.6501
85,0.77136,0.656
86,0.77162,0.6523
87,0.77306,0.6436
88,0.77364,0.6448
89,0.7771,0.6607
90,0.77538,0.6355
91,0.77108,0.6418
92,0.77486,0.6598
93,0.77412,0.6698
94,0.7756,0.6384
95,0.7779,0.6252
96,0.78124,0.6391
97,0.7803,0.6403
98,0.77772,0.6404
99,0.78038,0.6424
100,0.85822,0.7497
101,0.8935,0.7521
102,0.9087,0.7541
103,0.91938,0.7536
104,0.92684,0.7545
105,0.93508,0.7533
106,0.94008,0.7497
107,0.9432,0.7512
108,0.94666,0.7478
109,0.95064,0.7531
110,0.95474,0.7475
111,0.95512,0.7396
112,0.95556,0.7429
113,0.95788,0.738
114,0.95812,0.7367
115,0.95898,0.7361
116,0.95682,0.7345
117,0.95704,0.7383
118,0.95722,0.7345
119,0.9552,0.7401
120,0.9558,0.7339
121,0.95446,0.7286
122,0.9553,0.7268
123,0.95216,0.7257
124,0.9497,0.7283
125,0.95336,0.7259
126,0.94968,0.7263
127,0.94672,0.7247
128,0.95134,0.7234
129,0.95038,0.7223
130,0.94874,0.7222
131,0.94738,0.7295
132,0.94966,0.7164
133,0.946,0.7188
134,0.94864,0.7199
135,0.94836,0.718
136,0.94802,0.7264
137,0.94842,0.7064
138,0.94894,0.721
139,0.94864,0.7206
140,0.94564,0.7147
141,0.94776,0.72
142,0.94928,0.7243
143,0.95048,0.7157
144,0.94956,0.7146
145,0.95068,0.7229
146,0.94986,0.7201
147,0.94826,0.7163
148,0.94932,0.7164
149,0.9501,0.718
150,0.9736,0.7626
151,0.98578,0.7645
152,0.98862,0.7663
153,0.99082,0.7666
154,0.99246,0.7661
155,0.9932,0.7692
156,0.99398,0.7695
157,0.99462,0.7692
