model,resnet18
batch_size,80
epochs,200
learning_rate,0.1
data_augmentation,True
seed,0
alphakd,0.7
T,10
name,r18_bsz80_BLKD_seed_0_
resume,False
""
epoch,train_acc,val_acc
0,0.12404,0.2003
1,0.25156,0.2846
2,0.35458,0.3666
3,0.4261,0.4294
4,0.475,0.4531
5,0.50748,0.438
6,0.5316,0.4797
7,0.54782,0.486
8,0.5599,0.4844
9,0.57732,0.4829
10,0.58472,0.4925
11,0.59408,0.5145
12,0.60188,0.5305
13,0.61102,0.5395
14,0.61298,0.5272
15,0.61846,0.5364
16,0.6224,0.5202
17,0.625,0.5364
18,0.63058,0.5249
19,0.63506,0.555
20,0.63784,0.5254
21,0.6403,0.5378
22,0.64132,0.5495
23,0.64494,0.5416
24,0.6451,0.5252
25,0.64574,0.5388
26,0.64704,0.5296
